T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
96,Brunei Darussalam,2010,Percentage of individuals using the internet,53.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
96,Brunei Darussalam,2015,Percentage of individuals using the internet,71.2000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
96,Brunei Darussalam,2016,Percentage of individuals using the internet,90.0000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
96,Brunei Darussalam,2017,Percentage of individuals using the internet,94.8667,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
100,Bulgaria,2000,Percentage of individuals using the internet,5.3709,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
100,Bulgaria,2005,Percentage of individuals using the internet,19.9700,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
100,Bulgaria,2010,Percentage of individuals using the internet,46.2300,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
100,Bulgaria,2015,Percentage of individuals using the internet,56.6563,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
100,Bulgaria,2016,Percentage of individuals using the internet,59.8255,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
100,Bulgaria,2017,Percentage of individuals using the internet,63.4101,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
100,Bulgaria,2018,Percentage of individuals using the internet,64.7820,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
854,Burkina Faso,2000,Percentage of individuals using the internet,0.0771,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
854,Burkina Faso,2005,Percentage of individuals using the internet,0.4699,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
854,Burkina Faso,2010,Percentage of individuals using the internet,2.4000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
854,Burkina Faso,2015,Percentage of individuals using the internet,14.0000,Population aged 18 years and over.;At least once a month.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
854,Burkina Faso,2016,Percentage of individuals using the internet,13.9600,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
854,Burkina Faso,2017,Percentage of individuals using the internet,16.0000,Population aged 18 years and over.;At least once a month.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
108,Burundi,2000,Percentage of individuals using the internet,0.0772,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
108,Burundi,2005,Percentage of individuals using the internet,0.5421,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
108,Burundi,2010,Percentage of individuals using the internet,1.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
108,Burundi,2015,Percentage of individuals using the internet,4.8662,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
108,Burundi,2016,Percentage of individuals using the internet,5.1736,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
108,Burundi,2017,Percentage of individuals using the internet,2.6607,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
132,Cabo Verde,2000,Percentage of individuals using the internet,1.8224,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
132,Cabo Verde,2005,Percentage of individuals using the internet,6.0741,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
132,Cabo Verde,2010,Percentage of individuals using the internet,30.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
132,Cabo Verde,2015,Percentage of individuals using the internet,42.6800,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
132,Cabo Verde,2016,Percentage of individuals using the internet,50.3228,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
132,Cabo Verde,2017,Percentage of individuals using the internet,57.1621,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
116,Cambodia,2000,Percentage of individuals using the internet,0.0470,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
116,Cambodia,2005,Percentage of individuals using the internet,0.3173,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
116,Cambodia,2010,Percentage of individuals using the internet,1.2600,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
116,Cambodia,2015,Percentage of individuals using the internet,6.4332,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
116,Cambodia,2016,Percentage of individuals using the internet,32.3985,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
116,Cambodia,2017,Percentage of individuals using the internet,32.4469,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
116,Cambodia,2018,Percentage of individuals using the internet,40.0000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
120,Cameroon,2000,Percentage of individuals using the internet,0.2521,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
120,Cameroon,2005,Percentage of individuals using the internet,1.4027,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
120,Cameroon,2010,Percentage of individuals using the internet,4.3000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
120,Cameroon,2015,Percentage of individuals using the internet,20.6801,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
120,Cameroon,2016,Percentage of individuals using the internet,23.2030,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
120,Cameroon,2017,Percentage of individuals using the internet,23.2030,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
124,Canada,2000,Percentage of individuals using the internet,51.3000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
124,Canada,2005,Percentage of individuals using the internet,71.6600,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
124,Canada,2010,Percentage of individuals using the internet,80.3000,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
124,Canada,2015,Percentage of individuals using the internet,90.0000,Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
124,Canada,2016,Percentage of individuals using the internet,91.1600,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
124,Canada,2017,Percentage of individuals using the internet,91.0000,Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
136,Cayman Islands,2005,Percentage of individuals using the internet,38.0344,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
136,Cayman Islands,2010,Percentage of individuals using the internet,66.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
136,Cayman Islands,2015,Percentage of individuals using the internet,77.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
136,Cayman Islands,2016,Percentage of individuals using the internet,79.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
136,Cayman Islands,2017,Percentage of individuals using the internet,81.0677,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
140,Central African Republic,2000,Percentage of individuals using the internet,0.0534,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
140,Central African Republic,2005,Percentage of individuals using the internet,0.2682,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
140,Central African Republic,2010,Percentage of individuals using the internet,2.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
140,Central African Republic,2015,Percentage of individuals using the internet,3.8000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
140,Central African Republic,2016,Percentage of individuals using the internet,4.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
140,Central African Republic,2017,Percentage of individuals using the internet,4.3393,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
148,Chad,2000,Percentage of individuals using the internet,0.0357,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
148,Chad,2005,Percentage of individuals using the internet,0.3993,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
148,Chad,2010,Percentage of individuals using the internet,1.7000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
148,Chad,2015,Percentage of individuals using the internet,3.5000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
148,Chad,2016,Percentage of individuals using the internet,5.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
148,Chad,2017,Percentage of individuals using the internet,6.5000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
152,Chile,2000,Percentage of individuals using the internet,16.6000,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
152,Chile,2005,Percentage of individuals using the internet,31.1753,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
152,Chile,2010,Percentage of individuals using the internet,45.0000,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
152,Chile,2015,Percentage of individuals using the internet,76.6300,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
152,Chile,2016,Percentage of individuals using the internet,83.5586,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
152,Chile,2017,Percentage of individuals using the internet,82.3275,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
156,China,2000,Percentage of individuals using the internet,1.7759,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
156,China,2005,Percentage of individuals using the internet,8.5233,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
156,China,2010,Percentage of individuals using the internet,34.3000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
156,China,2015,Percentage of individuals using the internet,50.3000,"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Population aged 6 years and over.;Data refer to permanent residents.;Users in the last 6 months.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
156,China,2016,Percentage of individuals using the internet,53.2000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
156,China,2017,Percentage of individuals using the internet,54.3000,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
344,"China, Hong Kong SAR",2000,Percentage of individuals using the internet,27.8278,Users in the last 12 months.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
344,"China, Hong Kong SAR",2005,Percentage of individuals using the internet,56.9000,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
344,"China, Hong Kong SAR",2010,Percentage of individuals using the internet,72.0000,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
344,"China, Hong Kong SAR",2015,Percentage of individuals using the internet,84.9484,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
344,"China, Hong Kong SAR",2016,Percentage of individuals using the internet,87.4794,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
344,"China, Hong Kong SAR",2017,Percentage of individuals using the internet,89.4159,Users in the last 12 months.;Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
344,"China, Hong Kong SAR",2018,Percentage of individuals using the internet,90.5074,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
446,"China, Macao SAR",2000,Percentage of individuals using the internet,13.6086,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
446,"China, Macao SAR",2005,Percentage of individuals using the internet,34.8629,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
446,"China, Macao SAR",2010,Percentage of individuals using the internet,55.1980,Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
446,"China, Macao SAR",2015,Percentage of individuals using the internet,77.6001,Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
446,"China, Macao SAR",2016,Percentage of individuals using the internet,81.6430,Users in the last 3 months.;Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
446,"China, Macao SAR",2017,Percentage of individuals using the internet,83.1741,Users in the last 3 months.;Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
446,"China, Macao SAR",2018,Percentage of individuals using the internet,83.7941,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
170,Colombia,2000,Percentage of individuals using the internet,2.2075,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
170,Colombia,2005,Percentage of individuals using the internet,11.0073,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
170,Colombia,2010,Percentage of individuals using the internet,36.5000,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
170,Colombia,2015,Percentage of individuals using the internet,55.9050,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
170,Colombia,2016,Percentage of individuals using the internet,58.1365,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
170,Colombia,2017,Percentage of individuals using the internet,62.2599,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
170,Colombia,2018,Percentage of individuals using the internet,64.1264,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
174,Comoros,2000,Percentage of individuals using the internet,0.2717,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
174,Comoros,2005,Percentage of individuals using the internet,2.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
174,Comoros,2010,Percentage of individuals using the internet,5.1000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
174,Comoros,2015,Percentage of individuals using the internet,7.4592,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
174,Comoros,2016,Percentage of individuals using the internet,7.9383,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
174,Comoros,2017,Percentage of individuals using the internet,8.4782,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
178,Congo,2000,Percentage of individuals using the internet,0.0264,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
178,Congo,2005,Percentage of individuals using the internet,1.4634,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
178,Congo,2010,Percentage of individuals using the internet,5.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
178,Congo,2015,Percentage of individuals using the internet,7.6160,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
178,Congo,2016,Percentage of individuals using the internet,8.1219,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
178,Congo,2017,Percentage of individuals using the internet,8.6500,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
188,Costa Rica,2000,Percentage of individuals using the internet,5.8003,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
188,Costa Rica,2005,Percentage of individuals using the internet,22.0700,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
188,Costa Rica,2010,Percentage of individuals using the internet,36.5000,Users in the last 3 months.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
188,Costa Rica,2015,Percentage of individuals using the internet,59.7630,Users in the last 3 months.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
188,Costa Rica,2016,Percentage of individuals using the internet,65.8804,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
188,Costa Rica,2017,Percentage of individuals using the internet,71.3908,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
188,Costa Rica,2018,Percentage of individuals using the internet,74.0868,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
384,Côte d’Ivoire,2000,Percentage of individuals using the internet,0.2315,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
384,Côte d’Ivoire,2005,Percentage of individuals using the internet,1.0392,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
384,Côte d’Ivoire,2010,Percentage of individuals using the internet,2.7000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
384,Côte d’Ivoire,2015,Percentage of individuals using the internet,38.4400,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
384,Côte d’Ivoire,2016,Percentage of individuals using the internet,41.2078,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
384,Côte d’Ivoire,2017,Percentage of individuals using the internet,43.8399,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
384,Côte d’Ivoire,2018,Percentage of individuals using the internet,46.8237,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
191,Croatia,2000,Percentage of individuals using the internet,6.6449,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
191,Croatia,2005,Percentage of individuals using the internet,33.1400,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
191,Croatia,2010,Percentage of individuals using the internet,56.5500,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
191,Croatia,2015,Percentage of individuals using the internet,69.8031,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
191,Croatia,2016,Percentage of individuals using the internet,72.6973,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
191,Croatia,2017,Percentage of individuals using the internet,67.0962,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
191,Croatia,2018,Percentage of individuals using the internet,75.2946,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
192,Cuba,2000,Percentage of individuals using the internet,0.5412,Refers only to users with access to the international network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
192,Cuba,2005,Percentage of individuals using the internet,9.7381,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
192,Cuba,2010,Percentage of individuals using the internet,15.9000,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
192,Cuba,2015,Percentage of individuals using the internet,37.3051,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
192,Cuba,2016,Percentage of individuals using the internet,42.9787,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
192,Cuba,2017,Percentage of individuals using the internet,57.1484,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
531,Curaçao,2016,Percentage of individuals using the internet,61.8555,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
531,Curaçao,2017,Percentage of individuals using the internet,68.1272,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
196,Cyprus,2000,Percentage of individuals using the internet,15.2554,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
196,Cyprus,2005,Percentage of individuals using the internet,32.8100,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
196,Cyprus,2010,Percentage of individuals using the internet,52.9900,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
196,Cyprus,2015,Percentage of individuals using the internet,71.7159,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
196,Cyprus,2016,Percentage of individuals using the internet,75.9002,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
196,Cyprus,2017,Percentage of individuals using the internet,80.7432,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
196,Cyprus,2018,Percentage of individuals using the internet,84.4336,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
203,Czechia,2000,Percentage of individuals using the internet,9.7805,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
203,Czechia,2005,Percentage of individuals using the internet,35.2700,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
203,Czechia,2010,Percentage of individuals using the internet,68.8200,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
203,Czechia,2015,Percentage of individuals using the internet,75.6688,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
203,Czechia,2016,Percentage of individuals using the internet,76.4812,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
203,Czechia,2017,Percentage of individuals using the internet,78.7192,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
203,Czechia,2018,Percentage of individuals using the internet,80.6882,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
408,Dem. People's Rep. Korea,2000,Percentage of individuals using the internet,0.0000,Commercially not available. Local Intranet available in country.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
408,Dem. People's Rep. Korea,2005,Percentage of individuals using the internet,0.0000,Commercially not available. Local Intranet available in country.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
408,Dem. People's Rep. Korea,2010,Percentage of individuals using the internet,0.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
180,Dem. Rep. of the Congo,2000,Percentage of individuals using the internet,0.0059,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
180,Dem. Rep. of the Congo,2005,Percentage of individuals using the internet,0.2380,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
180,Dem. Rep. of the Congo,2010,Percentage of individuals using the internet,0.7200,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
180,Dem. Rep. of the Congo,2015,Percentage of individuals using the internet,3.8000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
180,Dem. Rep. of the Congo,2016,Percentage of individuals using the internet,6.2100,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
180,Dem. Rep. of the Congo,2017,Percentage of individuals using the internet,8.6199,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
208,Denmark,2000,Percentage of individuals using the internet,39.1724,E-mail users.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
208,Denmark,2005,Percentage of individuals using the internet,82.7400,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
208,Denmark,2010,Percentage of individuals using the internet,88.7200,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
208,Denmark,2015,Percentage of individuals using the internet,96.3305,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
208,Denmark,2016,Percentage of individuals using the internet,96.9678,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
208,Denmark,2017,Percentage of individuals using the internet,97.0994,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
208,Denmark,2018,Percentage of individuals using the internet,97.3192,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
262,Djibouti,2000,Percentage of individuals using the internet,0.1945,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
262,Djibouti,2005,Percentage of individuals using the internet,0.9536,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
262,Djibouti,2010,Percentage of individuals using the internet,6.5000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
262,Djibouti,2015,Percentage of individuals using the internet,11.9224,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
262,Djibouti,2016,Percentage of individuals using the internet,13.1349,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
262,Djibouti,2017,Percentage of individuals using the internet,55.6814,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
212,Dominica,2000,Percentage of individuals using the internet,8.8148,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
212,Dominica,2005,Percentage of individuals using the internet,38.5436,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
212,Dominica,2010,Percentage of individuals using the internet,47.4500,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
212,Dominica,2015,Percentage of individuals using the internet,65.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
212,Dominica,2016,Percentage of individuals using the internet,67.0300,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
212,Dominica,2017,Percentage of individuals using the internet,69.6197,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
214,Dominican Republic,2000,Percentage of individuals using the internet,3.7047,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
214,Dominican Republic,2005,Percentage of individuals using the internet,11.4832,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
214,Dominican Republic,2010,Percentage of individuals using the internet,31.4000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
214,Dominican Republic,2015,Percentage of individuals using the internet,54.2158,Population aged 12 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
214,Dominican Republic,2016,Percentage of individuals using the internet,63.8709,Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
