T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
14,Eastern Africa,2000,Percentage of individuals using the internet,0.2132,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
14,Eastern Africa,2005,Percentage of individuals using the internet,1.3310,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
14,Eastern Africa,2010,Percentage of individuals using the internet,4.4616,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
14,Eastern Africa,2015,Percentage of individuals using the internet,14.4739,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
14,Eastern Africa,2016,Percentage of individuals using the internet,14.9954,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
14,Eastern Africa,2017,Percentage of individuals using the internet,18.0356,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
14,Eastern Africa,2018,Percentage of individuals using the internet,17.5692,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2000,Percentage of individuals using the internet,0.0907,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2005,Percentage of individuals using the internet,0.7177,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2010,Percentage of individuals using the internet,2.1271,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2015,Percentage of individuals using the internet,8.6898,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2016,Percentage of individuals using the internet,10.5736,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2017,Percentage of individuals using the internet,12.3647,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
17,Middle Africa,2018,Percentage of individuals using the internet,13.9238,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2000,Percentage of individuals using the internet,4.8518,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2005,Percentage of individuals using the internet,6.9752,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2010,Percentage of individuals using the internet,22.0126,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2015,Percentage of individuals using the internet,49.1226,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2016,Percentage of individuals using the internet,51.3500,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2017,Percentage of individuals using the internet,54.6286,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
18,Southern Africa,2018,Percentage of individuals using the internet,54.9470,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2000,Percentage of individuals using the internet,0.1325,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2005,Percentage of individuals using the internet,2.4667,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2010,Percentage of individuals using the internet,7.7325,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2015,Percentage of individuals using the internet,27.2079,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2017,Percentage of individuals using the internet,33.7149,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
11,Western Africa,2018,Percentage of individuals using the internet,35.8218,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2000,Percentage of individuals using the internet,43.8820,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2005,Percentage of individuals using the internet,68.3286,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2010,Percentage of individuals using the internet,72.5474,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2015,Percentage of individuals using the internet,76.1159,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2016,Percentage of individuals using the internet,86.1122,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2017,Percentage of individuals using the internet,87.6442,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
21,Northern America,2018,Percentage of individuals using the internet,89.1898,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2000,Percentage of individuals using the internet,3.8905,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2005,Percentage of individuals using the internet,16.6266,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2010,Percentage of individuals using the internet,34.6965,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2015,Percentage of individuals using the internet,54.6160,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2016,Percentage of individuals using the internet,57.3554,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2017,Percentage of individuals using the internet,63.2188,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
419,Latin America & the Caribbean,2018,Percentage of individuals using the internet,66.3142,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2000,Percentage of individuals using the internet,2.9245,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2005,Percentage of individuals using the internet,12.5300,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2010,Percentage of individuals using the internet,23.6549,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2015,Percentage of individuals using the internet,39.6129,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2016,Percentage of individuals using the internet,44.3707,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2017,Percentage of individuals using the internet,50.2022,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
29,Caribbean,2018,Percentage of individuals using the internet,58.7210,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2000,Percentage of individuals using the internet,3.9663,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2005,Percentage of individuals using the internet,16.9391,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2010,Percentage of individuals using the internet,35.5181,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2015,Percentage of individuals using the internet,55.6886,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2016,Percentage of individuals using the internet,58.2821,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2017,Percentage of individuals using the internet,64.1424,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
420,Latin America,2018,Percentage of individuals using the internet,66.8441,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2000,Percentage of individuals using the internet,2.9804,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2005,Percentage of individuals using the internet,9.0278,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2010,Percentage of individuals using the internet,22.6210,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2015,Percentage of individuals using the internet,35.7060,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2016,Percentage of individuals using the internet,39.5032,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2017,Percentage of individuals using the internet,45.2835,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
142,Asia,2018,Percentage of individuals using the internet,47.2714,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2000,Percentage of individuals using the internet,0.5060,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2005,Percentage of individuals using the internet,3.3227,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2010,Percentage of individuals using the internet,18.4310,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2015,Percentage of individuals using the internet,43.7000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2016,Percentage of individuals using the internet,47.4378,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2017,Percentage of individuals using the internet,50.8842,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
143,Central Asia,2018,Percentage of individuals using the internet,51.3321,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2000,Percentage of individuals using the internet,5.9510,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2005,Percentage of individuals using the internet,16.1332,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2010,Percentage of individuals using the internet,39.4847,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2015,Percentage of individuals using the internet,54.4446,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2016,Percentage of individuals using the internet,57.1998,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2017,Percentage of individuals using the internet,58.6047,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
30,Eastern Asia,2018,Percentage of individuals using the internet,59.1259,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2000,Percentage of individuals using the internet,0.4581,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2005,Percentage of individuals using the internet,2.8177,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2010,Percentage of individuals using the internet,7.9770,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
